"","long_start","long_end","lat_start","lat_end","center_long","center_lat","area","depth","lbl","tif","tab","long_dir","lat_dir","width","corrupt"
"5244",332.71579,320.71091,75.123489,29.808022,326.71335,52.4657555,544.0067435,0.800000012,"Radar_Images/tiff/s_0105xx/s_01053301_tiff.lbl","Radar_Images/tiff/s_0105xx/s_01053301_tiff.tif","Radar_Images/geom/s_0105xx/s_01053301_geom.tab","decreasing","decreasing",5851,"good"
"3132",234.46436,60.0568,-59.67464,-62.37513,147.26058,-61.024885,470.9858717,0.358945787,"Radar_Images/tiff/s_0069xx/s_00699001_tiff.lbl","Radar_Images/tiff/s_0069xx/s_00699001_tiff.tif","Radar_Images/geom/s_0069xx/s_00699001_geom.tab","decreasing","decreasing",7411,"good"
"18932",239.85939,231.37923,68.758949,29.757197,235.61931,49.258073,330.7410972,0.080079913,"Radar_Images/tiff/s_0480xx/s_04807801_tiff.lbl","Radar_Images/tiff/s_0480xx/s_04807801_tiff.tif","Radar_Images/geom/s_0480xx/s_04807801_geom.tab","decreasing","decreasing",5033,"good"
"14214",46.573486,37.855976,-3.531277,-59.70228,42.214731,-31.6167785,489.6712804,-32768,"Radar_Images/tiff/s_0368xx/s_03689001_tiff.lbl","Radar_Images/tiff/s_0368xx/s_03689001_tiff.tif","Radar_Images/geom/s_0368xx/s_03689001_geom.tab","decreasing","decreasing",7244,"good"
"14702",106.83573,305.46178,-71.93444,-77.87233,26.148755,-74.903385,958.220764,0.074746817,"Radar_Images/tiff/s_0375xx/s_03757301_tiff.lbl","Radar_Images/tiff/s_0375xx/s_03757301_tiff.tif","Radar_Images/geom/s_0375xx/s_03757301_geom.tab","decreasing","decreasing",3816,"good"
"14690",159.19835,357.32804,71.810425,77.983057,78.263195,74.896741,999.1658554,0.133446187,"Radar_Images/tiff/s_0375xx/s_03756402_tiff.lbl","Radar_Images/tiff/s_0375xx/s_03756402_tiff.tif","Radar_Images/geom/s_0375xx/s_03756402_geom.tab","decreasing","increasing",3820,"good"
"22175",174.27855,162.62597,74.848541,29.714432,168.45226,52.2814865,525.9288159,0.466726422,"Radar_Images/tiff/s_0570xx/s_05702101_tiff.lbl","Radar_Images/tiff/s_0570xx/s_05702101_tiff.tif","Radar_Images/geom/s_0570xx/s_05702101_geom.tab","decreasing","decreasing",5826,"good"
"6103",24.349489,217.36927,72.934937,69.964926,300.8593795,-18.5500685,29560.50633,0.090825379,"Radar_Images/tiff/s_0138xx/s_01386001_tiff.lbl","Radar_Images/tiff/s_0138xx/s_01386001_tiff.tif","Radar_Images/geom/s_0138xx/s_01386001_geom.tab","decreasing","increasing",4718,"good"
"22413",23.841961,20.068073,29.741903,0.021495,21.955017,14.881699,112.1614911,-32768,"Radar_Images/tiff/s_0579xx/s_05798901_tiff.lbl","Radar_Images/tiff/s_0579xx/s_05798901_tiff.tif","Radar_Images/geom/s_0579xx/s_05798901_geom.tab","decreasing","decreasing",3833,"good"
"3628",327.19125,318.31965,-72.88951,-39.78389,322.75545,-56.3367,293.6998184,-32768,"Radar_Images/tiff/s_0074xx/s_00745502_tiff.lbl","Radar_Images/tiff/s_0074xx/s_00745502_tiff.tif","Radar_Images/geom/s_0074xx/s_00745502_geom.tab","decreasing","increasing",4275,"good"
"17296",112.92734,315.21875,74.977318,79.951479,34.073045,77.4643985,784.4679177,0.13132152,"Radar_Images/tiff/s_0452xx/s_04526701_tiff.lbl","Radar_Images/tiff/s_0452xx/s_04526701_tiff.tif","Radar_Images/geom/s_0452xx/s_04526701_geom.tab","decreasing","increasing",3151,"good"
"13416",332.42929,170.65092,-71.88723,-77.94514,251.540105,-74.916185,980.0388054,0.108719051,"Radar_Images/tiff/s_0359xx/s_03595601_tiff.lbl","Radar_Images/tiff/s_0359xx/s_03595601_tiff.tif","Radar_Images/geom/s_0359xx/s_03595601_geom.tab","decreasing","decreasing",3815,"good"
"22610",303.36758,291.43075,74.880241,29.763951,297.399165,52.322096,538.545484,0.143247157,"Radar_Images/tiff/s_0583xx/s_05832201_tiff.lbl","Radar_Images/tiff/s_0583xx/s_05832201_tiff.tif","Radar_Images/geom/s_0583xx/s_05832201_geom.tab","decreasing","decreasing",5826,"good"
"1656",34.604821,227.40336,-69.40929,-72.16876,311.0040905,-70.789025,461.3874156,0.125734508,"Radar_Images/tiff/s_0049xx/s_00499301_tiff.lbl","Radar_Images/tiff/s_0049xx/s_00499301_tiff.tif","Radar_Images/geom/s_0049xx/s_00499301_geom.tab","decreasing","decreasing",4888,"good"
